0	﻿مقام	﻿مقام	﻿مقام	﻿مقام	O	_
25	آن	ان	آن	ان	Ab	اختصارات	
26	کالاها	کالا	کالا	کالا + ها	N1+Pl	اسم + علامت جمع	
27	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
28	خدمات	خدمات|خدم	خدمات	خدمات|خدم + ات	N1|N1+Pl	اسم|اسم + علامت جمع	
29	موردنیاز	موردنیاز	موردنیاز	موردنیاز	A0	صفت	
30	را	را	را	را	Po	حرف اضافه پسین	
31	از	از	از	از	Pr	حرف اضافه	
32	کشورهای	کشور|کش	کشور	کشور + ها + ی|کش + ور + ها + ی	N1+Pl+O|V1+O+Pl+O	اسم + علامت جمع + ی|بن مضارع + ور + علامت جمع + ی	
33	اروپایی	اروپایی|اروپا	اروپایی	اروپایی|اروپا + یی	A0|N2+O	صفت|اسم خاص مکان + یی	
34	خریداری	خریداری|خریدار|خرید	خریدار	خریداری|خریدار + ی|خرید + ار + ی	N1|A0+O|O+O+O	اسم|صفت + ی|ریشه ماضی + ار + ی	
35	کند	کند|کن|کن	کند	کند|کن + د|کن + د	A0|V+O|V+O	صفت|فعل مضارع ساده+سوم شخص مفرد|فعل مضارع ساده+سوم شخص مفرد	
36	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
37	تهاتر	تهاتر|ته	تهاتر	تهاتر|ته + ا + تر	N1|O+O+O	اسم|ریشه مضارع + ا + علامت صفت تفضیلی	
38	دریافت	دریافت|دریافت	دریافت	دریافت|دریافت	V+O|N1	فعل ماضی ساده+سوم شخص مفرد|اسم	
39	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
40	پرداخت‌ها	پرداخت	پرداخت	پرداخت + ها	N1+Pl	اسم + علامت جمع	
41	بین	بین|بین|بین|ین	بین	بین|بین|بین|ب + ین	V|A0|N9|O+N1	فعل امر مثبت|صفت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|ب + اسم	
42	بانک‌های	بانک	بانک	بانک + ها + ی	N1+Pl+O	اسم + علامت جمع + ی	
43	مرکزی	مرکزی|مرکز	مرکزی	مرکزی|مرکز + ی	A0|N1+O	صفت|اسم + ی	
44	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
45	نه	نه|نه|نه	نه	نه|نه|نه	O|V|N1	عدد حرفی|فعل امر مثبت|اسم	
46	شبکه	شبکه|شب	شبکه	شبکه|شب + ک + ه	N1|N1+O+O	اسم|اسم + ک + ه	
47	بانکی	بانکی|بانک	بانک	بانکی|بانک + ی	A0|N1+O	صفت|اسم + ی	
48	صورت	صورت|صورت|صور	صورت	صورت|صورت|صور + ت	N1|N9|N1+O	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|اسم + ضمیر ملکی دوم شخص مفرد	
49	می‌پذیرد	پذیر	پذیرفت	می + پذیر + د	V+O	فعل حال اخباری+سوم شخص مفرد	
50	.	.	.	.	Si	علامت	

0	«	«	«	«	Si	علامت	
1	آلبرت	آلبرت|آل	آلبرت	آلبرت|آل + بر + ت	N3|N1+O+O	اسم خاص اشخاص|اسم + بر + ضمیر ملکی دوم شخص مفرد	
2	بغزیان	بغزیان	بغزیان	بغزیان	O	_
3	»	»	»	»	Si	علامت	
4	استاد	استاد|استاد	استاد	استاد|استاد	A0|Sp	صفت|شاخص	
5	اقتصاد	اقتصاد	اقتصاد	اقتصاد	N1	اسم	
6	دانشگاه	دانشگاه|دانش|دان	دانشگاه	دانشگاه|دانش + گاه|دان + ش + گاه	N1|N1+O|V1+O+O	اسم|اسم + گاه|بن مضارع + ش + گاه	
7	تهران	تهران	تهران	تهران	N2	اسم خاص مکان	
8	می‌گوید	گو	گفت	می + گو + ید	V+O	فعل حال اخباری+دوم شخص جمع	
9	:	:	:	:	Si	علامت	
10	اگر	اگر	اگر	اگر	C0	حرف ربط	
11	اروپا	اروپا	اروپا	اروپا	N2	اسم خاص مکان	
12	بخواهد	خواه|خواه	خواست	ب + خواه + د|ب + خواه + د	V+O|O+V5+O	فعل حال التزامی+سوم شخص مفرد|ب + فعل کمکی + د	
13	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
14	از	از	از	از	Pr	حرف اضافه	
15	آمریکا	امریکا	آمریکا	امریکا	N2	اسم خاص مکان	
16	ترس	ترس|ترس	ترس	ترس|ترس	V|N1	فعل امر مثبت|اسم	
17	نداشته_باشد	نداشته_باشد	داشت	نداشته_باشد	O	_
18	،	،	،	،	Si	علامت	
19	به‌راحتی	به‌راحتی|راحتی|راحت	به‌راحتی	به‌راحتی|به + راحتی|به + راحت + ی	Ad|O+A0|O+A0+O	قید|به + صفت|به + صفت + ی	
20	می‌تواند	توان|توان	توانست	می + توان + د|می + توان + د	O+V4+O|V+O	می + فعل وجه نما + د|فعل حال اخباری+سوم شخص مفرد	
21	این	این|این	این	این|این	A1|N6	صفت اشاره|ضمیر اشاره	
22	کانال	کانال	کانال	کانال	N1	اسم	
23	ارتباط	ارتباط	ارتباط	ارتباط	N1	اسم	
24	مالی	مالی|مال|مال	مالی	مالی|مال + ی|مال + ی	A0|V+O|N1+O	صفت|فعل مضارع ساده+دوم شخص مفرد|اسم + ی	
25	یورویی	یورو	یورو	یورو + یی	N1+O	اسم + یی	
26	را	را	را	را	Po	حرف اضافه پسین	
27	با	با	با	با	Pr	حرف اضافه	
28	ایران	ایران	ایران	ایران	N2	اسم خاص مکان	
29	برقرار	برقرار	برقرار	برقرار	A0	صفت	
30	کند	کند|کن|کن	کند	کند|کن + د|کن + د	A0|V+O|V+O	صفت|فعل مضارع ساده+سوم شخص مفرد|فعل مضارع ساده+سوم شخص مفرد	
31	؛	؛	؛	؛	Si	علامت	

0	چون	چون|چون	چون	چون|چون	C0|Pr	حرف ربط|حرف اضافه	
1	حساب‌ها	حساب	حساب	حساب + ها	N1+Pl	اسم + علامت جمع	
2	بر	بر|بر|بر|بر	بر	بر|بر|بر|بر	Pr|V|VPr|N1	حرف اضافه|فعل امر مثبت|پیشوند فعل|اسم	
3	پایه	پایه|پایه|پای	پایه	پایه|پایه|پای + ه	N1|N9|N1+O	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|اسم + ه	
4	یورو	یورو	یورو	یورو	N1	اسم	
5	نگهداری	نگهداری|نگه	نگهداری	نگهداری|نگه + دار + ی	N1|N1+O+O	اسم|اسم + دار + ی	
6	می‌شود	شو	شد	می + شو + د	V+O	فعل حال اخباری+سوم شخص مفرد	
7	،	،	،	،	Si	علامت	
8	به‌راحتی	به‌راحتی|راحتی|راحت	به‌راحتی	به‌راحتی|به + راحتی|به + راحت + ی	Ad|O+A0|O+A0+O	قید|به + صفت|به + صفت + ی	
9	می‌توان	توان	می‌توان	می + توان	O+V4	می + فعل وجه نما	
10	درآمد	درآمد|درآمد	درآمد	درآمد|درآمد	V+O|N1	فعل ماضی ساده+سوم شخص مفرد|اسم	
11	حاصل	حاصل	حاصل	حاصل	N1	اسم	
12	از	از	از	از	Pr	حرف اضافه	
13	صادرات	صادرات|صادر	صادرات	صادرات|صادر + ات	N1|N1+Pl	اسم|اسم + علامت جمع	
14	ایران	ایران	ایران	ایران	N2	اسم خاص مکان	
15	را	را	را	را	Po	حرف اضافه پسین	
16	با	با	با	با	Pr	حرف اضافه	
17	واردات	واردات|وارد	واردات	واردات|وارد + ات	N1|N1+Pl	اسم|اسم + علامت جمع	
18	کالاها	کالا	کالا	کالا + ها	N1+Pl	اسم + علامت جمع	
19	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
20	خدمات	خدمات|خدم	خدمات	خدمات|خدم + ات	N1|N1+Pl	اسم|اسم + علامت جمع	
21	از	از	از	از	Pr	حرف اضافه	
22	حوزه	حوزه	حوزه	حوزه	N1	اسم	
23	اروپا	اروپا	اروپا	اروپا	N2	اسم خاص مکان	
24	تهاتر	تهاتر|ته	تهاتر	تهاتر|ته + ا + تر	N1|O+O+O	اسم|ریشه مضارع + ا + علامت صفت تفضیلی	
25	کرد	کرد|کرد	کرد	کرد|کرد	V+O|N1	فعل ماضی ساده+سوم شخص مفرد|اسم	
26	.	.	.	.	Si	علامت	

0	عباس	عباس	عباس	عباس	N3	اسم خاص اشخاص	
1	هشی	هش	هشی	هش + ی	N1+O	اسم + ی	
2	،	،	،	،	Si	علامت	
3	کارشناس	کارشناس|کار	کارشناس	کارشناس|کار + شناس	A0|N1+O	صفت|اسم + شناس	
4	اقتصادی	اقتصادی|اقتصاد	اقتصاد	اقتصادی|اقتصاد + ی	A0|N1+O	صفت|اسم + ی	
5	هم	هم|هم|هم	هم	هم|هم|هم	Ad|C0|O	قید|حرف ربط|ضمیر مشترک/متقابل	
6	توضیح	توضیح	توضیح	توضیح	N1	اسم	
7	می‌دهد	ده	داد	می + ده + د	V+O	فعل حال اخباری+سوم شخص مفرد	
8	این	این|این	این	این|این	A1|N6	صفت اشاره|ضمیر اشاره	
9	کانال	کانال	کانال	کانال	N1	اسم	
10	یورویی	یورو	یورو	یورو + یی	N1+O	اسم + یی	
11	اختراع	اختراع	اختراع	اختراع	N1	اسم	
12	جدیدی	جدیدی|جدید	جدید	جدیدی|جدید + ی	N1|A0+O	اسم|صفت + ی	
13	نیست	نیست|است|نی	نیست	نیست|نی + است|نی + ست	N1|V+O|N1+O	اسم|فعل مضارع ساده منفی+سوم شخص مفرد|اسم + ضمیر ملکی سوم شخص مفرد	
14	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
15	عملکرد	عملکرد	عملکرد	عملکرد	N1	اسم	
16	آن	ان	آن	ان	Ab	اختصارات	
17	همچون	همچون	همچون	همچون	Pr	حرف اضافه	
18	اتاق‌های	اتاق	اتاق	اتاق + ها + ی	N1+Pl+O	اسم + علامت جمع + ی	
19	تسویه	تسویه	تسویه	تسویه	N1	اسم	
20	پایاپای	پایاپای	پایاپای	پایاپای	N1	اسم	
21	در	در|در|در|در|در	در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل	
22	زمان	زمان|زم	زمان	زمان|زم + ان	N1+O|N1+O	اسم+واجی ریشه: zamAn|اسم + ان	
23	جنگ	جنگ|جنگ|جنگ	جنگ	جنگ|جنگ|جنگ	V|N1|N1	فعل امر مثبت|اسم|اسم	
24	تحمیلی	تحمیلی|تحمیل	تحمیل	تحمیلی|تحمیل + ی	A0|N1+O	صفت|اسم + ی	
25	خواهد_بود	_بود	بود	_بود	O	_
26	.	.	.	.	Si	علامت	

0	معاون	معاون	معاون	معاون	N1	اسم	
1	بین‌الملل	بین‌الملل|بین‌الملل	بین‌الملل	بین‌الملل|بین‌الملل	A0|N1	صفت|اسم	
2	بانک	بانک	بانک	بانک	N1	اسم	
3	مرکزی	مرکزی|مرکز	مرکزی	مرکزی|مرکز + ی	A0|N1+O	صفت|اسم + ی	
4	می‌گوید	گو	گفت	می + گو + ید	V+O	فعل حال اخباری+دوم شخص جمع	
5	:	:	:	:	Si	علامت	
6	آمریکایی‌ها	امریکایی|امریکا	آمریکایی	امریکایی + ها|امریکا + یی + ها	A0+Pl|N2+O+Pl	صفت + علامت جمع|اسم خاص مکان + یی + علامت جمع	
7	پیش	پیش|پیش|پی	پیش	پیش|پیش|پی + ش	A0|N9|N1+O	صفت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|اسم + ضمیر ملکی سوم شخص مفرد	
8	از	از	از	از	Pr	حرف اضافه	
9	١٣	١٣	١٣	١٣	Nu	عدد رقمی	
10	آبان	اب	آبان	اب + ان	N1+O	اسم + ان	
11	هرچه	هرچه	هرچه	هرچه	Ad	قید	
12	در	در|در|در|در|در	در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل	
13	توان	توان|توان|توان	توان	توان|توان|توان	V|V4|N1	فعل امر مثبت|فعل وجه نما|اسم	
14	داشتند	داشت|داشت|داشت	داشت	داشت + ند|داشت + ند|داشت + ند	V+O|V5+V|N1+V	فعل ماضی ساده+سوم شخص جمع|فعل کمکی + فعل سوم شخص جمع|اسم + فعل سوم شخص جمع	
15	،	،	،	،	Si	علامت	
16	انجام	انجام|انجام	انجام	انجام|انجام	N1|V	اسم|فعل امر مثبت	
17	دادند	داد|داد	داد	داد + ند|داد + ند	V+O|N1+V	فعل ماضی ساده+سوم شخص جمع|اسم + فعل سوم شخص جمع	
18	اما	اما	اما	اما	C0	حرف ربط	
19	با	با	با	با	Pr	حرف اضافه	
20	برنامه‌ریزی‌ها	برنامه‌ریزی|برنامه‌ریز	برنامه‌ریزی	برنامه‌ریزی + ها|برنامه‌ریز + ی + ها	N1+Pl|N1+O+Pl	اسم + علامت جمع|اسم + ی + علامت جمع	
21	،	،	،	،	Si	علامت	
22	تلاش	تلاش	تلاش	تلاش	N1	اسم	
23	داریم	دار|دار|دار	داشت	دار + یم|دار + ی + م|دار + یم	V+O|V+O|N1+V	فعل مضارع ساده+اول شخص جمع|فعل مضارع ساده+دوم شخص مفرد|اسم + فعل اول شخص جمع	
24	هزینه‌های	هزینه	هزینه	هزینه + ها + ی	N1+Pl+O	اسم + علامت جمع + ی	
25	تحریم	تحریم|تحری|تحری	تحریم	تحریم|تحری + م|تحری + م	N1|N1+O|N1+V	اسم|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد	
26	را	را	را	را	Po	حرف اضافه پسین	
27	کاهش	کاهش|کاه|کاه	کاهش	کاهش|کاه + ش|کاه + ش	N1|V+O|N1+O	اسم|فعل مضارع ساده+سوم شخص مفرد|اسم + ضمیر ملکی سوم شخص مفرد	
28	داده	داده|داد|داد	داده	داده|داد + ه|داد + ه	N1|O+O|N1+O	اسم|ریشه ماضی + ه|اسم + ه	
29	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
30	اجازه	اجازه	اجازه	اجازه	N1	اسم	
31	ندهیم	ده|ده	داد	ن + ده + یم|ن + ده + ی + م	V+O|V+O	فعل حال التزامی منفی+اول شخص جمع|فعل حال التزامی منفی+دوم شخص مفرد	
32	جریان	جریان|جری|جر|جر	جریان	جریان|جری + ان|جر + ی + ان|جر + ی + ان	N1|A0+O|N1+O+O|N1+O+O	اسم|صفت + ان|اسم + ی + ان|اسم + ی + ان	
33	تجاری	تجاری|تجار	تجار	تجاری|تجار + ی	A0|N1+O	صفت|اسم + ی	
34	کشور	کشور|کش	کشور	کشور|کش + ور	N1|V1+O	اسم|بن مضارع + ور	
35	متوقف	متوقف	متوقف	متوقف	A0	صفت	
36	شود	شود|شو	شد	شود|شو + د	N1|V+O	اسم|فعل مضارع ساده+سوم شخص مفرد	
37	؛	؛	؛	؛	Si	علامت	
38	ضمن	ضمن|ضمن	ضمن	ضمن|ضمن	N1|N9	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی	
39	آنکه	آن‌که|آن‌که|آنکه|آنکه	آنکه	آن‌که|آن‌که|آنکه|آنکه	Ad|N5|Ad|N5	قید|ضمیر فاعلی|قید|ضمیر فاعلی	
40	اروپایی‌ها	اروپایی|اروپا	اروپایی	اروپایی + ها|اروپا + یی + ها	A0+Pl|N2+O+Pl	صفت + علامت جمع|اسم خاص مکان + یی + علامت جمع	
41	به	به|به	به	به|به	Pr|N1	حرف اضافه|اسم	
42	چند	چند	چند	چند	NA	ضمیر پرسشی	
43	دلیل	دلیل	دلیل	دلیل	N1	اسم	
44	نمی‌خواهند	خواه	خواست	نمی + خواه + ند	V+O	فعل حال اخباری منفی+سوم شخص جمع	
45	تجارت	تجارت|تجار	تجارت	تجارت|تجار + ت	N1|N1+O	اسم|اسم + ضمیر ملکی دوم شخص مفرد	
46	با	با	با	با	Pr	حرف اضافه	
47	ایران	ایران	ایران	ایران	N2	اسم خاص مکان	
48	را	را	را	را	Po	حرف اضافه پسین	
49	رها	رها|رها|ره	رها	رها|رها|ره + ا	V|A0|O+O	فعل امر مثبت|صفت|ریشه مضارع + ا	
50	کنند	کن|کن	کرد	کن + ند|کن + ند	V+O|V+O	فعل مضارع ساده+سوم شخص جمع|فعل مضارع ساده+سوم شخص جمع	
51	.	.	.	.	Si	علامت	

0	براساس	براساس	براساس	براساس	Pr1	حرف اضافه گروهی	
1	اعلام	اعلام|اعلام	اعلام	اعلام|اعلام	N1|N1	اسم|اسم	
2	بانک	بانک	بانک	بانک	N1	اسم	
3	صادرات	صادرات|صادر	صادرات	صادرات|صادر + ات	N1|N1+Pl	اسم|اسم + علامت جمع	
4	ایران	ایران	ایران	ایران	N2	اسم خاص مکان	
5	،	،	،	،	Si	علامت	
6	حسین	حسین|حس	حسین	حسین|حس + ین	N3|N1+O	اسم خاص اشخاص|اسم + ین	
7	یعقوبی	یعقوبی|یعقوب	یعقوب	یعقوبی|یعقوب + ی	N4|N3+O	اسم فامیل|اسم خاص اشخاص + ی	
8	میاب	میاب	میاب	میاب	O	_
9	تأکید	تأکید	تأکید	تأکید	N1	اسم	
10	می‌کند	کن|کن|می|می	کرد	می + کن + د|می + کن + د|می + ک + ند|می + ک + ند	V+O|V+O|N1+O+V|N1+O+V	فعل حال اخباری+سوم شخص مفرد|فعل حال اخباری+سوم شخص مفرد|اسم + ک + فعل سوم شخص جمع|اسم + ک + فعل سوم شخص جمع	
11	:	:	:	:	Si	علامت	
12	تحریم‌های	تحریم	تحریم	تحریم + ها + ی	N1+Pl+O	اسم + علامت جمع + ی	
13	اخیر	اخیر	اخیر	اخیر	A0	صفت	
14	مانند	مانند|مانند|مان|مان	مانند	مانند|مانند|مان + ند|مان + ند	N1|N9|V+O|N1+V	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|فعل مضارع ساده+سوم شخص جمع|اسم + فعل سوم شخص جمع	
15	تحریم‌های	تحریم	تحریم	تحریم + ها + ی	N1+Pl+O	اسم + علامت جمع + ی	
16	سازمان	سازمان|ساز|ساز	سازمان	سازمان|ساز + مان|ساز + مان	N1+O|V+O|N1+O	اسم+واجی ریشه: sAzmAn|فعل مضارع ساده+سوم شخص مفرد|اسم + ضمیر ملکی اول شخص جمع	
17	ملل	ملل	ملل	ملل	N1	اسم	
18	گسترده	گسترده|گسترد	گسترده	گسترده|گسترد + ه	A0|O+O	صفت|ریشه ماضی + ه	
19	نیست	نیست|است|نی	نیست	نیست|نی + است|نی + ست	N1|V+O|N1+O	اسم|فعل مضارع ساده منفی+سوم شخص مفرد|اسم + ضمیر ملکی سوم شخص مفرد	
20	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
21	به	به|به	به	به|به	Pr|N1	حرف اضافه|اسم	
22	همین	همین|همین|هم|ین	همین	همین|همین|هم + ین|هم + ین	A1|N6|Ad+O|O+N1	صفت اشاره|ضمیر اشاره|قید + ین|هم + اسم	
23	دلیل	دلیل	دلیل	دلیل	N1	اسم	
24	ابزارهای	ابزار|اب	ابزار	ابزار + ها + ی|اب + زار + ها + ی	N1+Pl+O|N1+O+Pl+O	اسم + علامت جمع + ی|اسم + زار + علامت جمع + ی	
25	بهتری	بهتر	بهتر	بهتر + ی	A0+O	صفت + ی	
26	برای	برای|برا|بر	برای	برای|برا + ی|بر + ا + ی	Pr|A0+O|O+O+O	حرف اضافه|صفت + ی|ریشه مضارع + ا + ی	
27	مقابله	مقابله|مقابل	مقابله	مقابله|مقابل + ه	N1|A0+O	اسم|صفت + ه	
28	با	با	با	با	Pr	حرف اضافه	
29	آنها	آن‌ها|آن‌ها|آنها|آنها	آن	آن‌ها|آن‌ها|آنها|آنها	N5|N6|N5|N6	ضمیر فاعلی|ضمیر اشاره|ضمیر فاعلی|ضمیر اشاره	
30	در	در|در|در|در|در	در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل	
31	اختیار	اختیار|اخت|اخ|اخ|اخ	اختیار	اختیار|اخت + یار|اخ + ت + یار|اخ + ت + یار|اخ + ت + یار	N1|A0+O|N1+O+O|N1+O+O|A0+O+O	اسم|صفت + یار|اسم + ضمیر ملکی دوم شخص مفرد + یار|اسم + ضمیر ملکی دوم شخص مفرد + یار|صفت + ضمیر ملکی دوم شخص مفرد + یار	
32	داریم	دار|دار|دار	داشت	دار + یم|دار + ی + م|دار + یم	V+O|V+O|N1+V	فعل مضارع ساده+اول شخص جمع|فعل مضارع ساده+دوم شخص مفرد|اسم + فعل اول شخص جمع	
33	.	.	.	.	Si	علامت	

0	معاون	معاون	معاون	معاون	N1	اسم	
1	بین‌الملل	بین‌الملل|بین‌الملل	بین‌الملل	بین‌الملل|بین‌الملل	A0|N1	صفت|اسم	
2	بانک	بانک	بانک	بانک	N1	اسم	
3	مرکزی	مرکزی|مرکز	مرکزی	مرکزی|مرکز + ی	A0|N1+O	صفت|اسم + ی	
4	تأکید	تأکید	تأکید	تأکید	N1	اسم	
5	می‌کند	کن|کن|می|می	کرد	می + کن + د|می + کن + د|می + ک + ند|می + ک + ند	V+O|V+O|N1+O+V|N1+O+V	فعل حال اخباری+سوم شخص مفرد|فعل حال اخباری+سوم شخص مفرد|اسم + ک + فعل سوم شخص جمع|اسم + ک + فعل سوم شخص جمع	
6	:	:	:	:	Si	علامت	
7	دولت	دولت|دول|دول	دولت	دولت|دول + ت|دول + ت	N1|N1+O|N1+O	اسم|اسم + ضمیر ملکی دوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد	
8	آمریکا	امریکا	آمریکا	امریکا	N2	اسم خاص مکان	
9	سعی	سعی	سعی	سعی	A0	صفت	
10	کرده_است	کرده_است	کرد	کرده_است	O	_
11	با	با	با	با	Pr	حرف اضافه	
12	خروج	خروج	خروج	خروج	N1	اسم	
13	از	از	از	از	Pr	حرف اضافه	
14	برجام	برجا	برجا	برجا	O	_
15	،	،	،	،	Si	علامت	
16	اقتصاد	اقتصاد	اقتصاد	اقتصاد	N1	اسم	
17	ایران	ایران	ایران	ایران	N2	اسم خاص مکان	
18	را	را	را	را	Po	حرف اضافه پسین	
19	دچار	دچار	دچار	دچار	Ad	قید	
20	اختلال	اختلال	اختلال	اختلال	N1	اسم	
21	کند	کند|کن|کن	کند	کند|کن + د|کن + د	A0|V+O|V+O	صفت|فعل مضارع ساده+سوم شخص مفرد|فعل مضارع ساده+سوم شخص مفرد	
22	اما	اما	اما	اما	C0	حرف ربط	
23	حضور	حضور	حضور	حضور	N1	اسم	
24	اروپایی‌ها	اروپایی|اروپا	اروپایی	اروپایی + ها|اروپا + یی + ها	A0+Pl|N2+O+Pl	صفت + علامت جمع|اسم خاص مکان + یی + علامت جمع	
25	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
26	تعهداتی	تعهد	تعهدات	تعهد + ات + ی	N1+Pl+O	اسم + علامت جمع + ی	
27	که	که|که|که|که	که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم	
28	دادند	داد|داد	داد	داد + ند|داد + ند	V+O|N1+V	فعل ماضی ساده+سوم شخص جمع|اسم + فعل سوم شخص جمع	
29	،	،	،	،	Si	علامت	
30	فشار	فشار	فشار	فشار	N1	اسم	
31	را	را	را	را	Po	حرف اضافه پسین	
32	کمتر	کم	کمتر	کم + تر	A0+O	صفت + علامت صفت تفضیلی	
33	کرد	کرد|کرد	کرد	کرد|کرد	V+O|N1	فعل ماضی ساده+سوم شخص مفرد|اسم	
34	؛	؛	؛	؛	Si	علامت	
35	تا	تا|تا|تا	تا	تا|تا|تا	Pr|C0|Ab	حرف اضافه|حرف ربط|اختصارات	
36	زمانی	زمانی|زمان|زم	زمان	زمانی|زمان + ی|زم + ان + ی	A0+O|N1+O+O|N1+O+O	صفت+واجی ریشه: zamAni|اسم + ی+واجی ریشه: zamAn|اسم + ان + ی	
37	که	که|که|که|که	که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم	
38	اروپایی‌ها	اروپایی|اروپا	اروپایی	اروپایی + ها|اروپا + یی + ها	A0+Pl|N2+O+Pl	صفت + علامت جمع|اسم خاص مکان + یی + علامت جمع	
39	حضور	حضور	حضور	حضور	N1	اسم	
40	دارند	دار|دار|دار	داشت	دار + ند|دار + ند|دار + ند	V+O|N1+V|V5+V	فعل مضارع ساده+سوم شخص جمع|اسم + فعل سوم شخص جمع|فعل کمکی + فعل سوم شخص جمع	
41	معافیت‌های	معافیت	معافیت	معافیت + ها + ی	N1+Pl+O	اسم + علامت جمع + ی	
42	خوب	خوب	خوب	خوب	A0	صفت	
43	همچنان	همچنان|چنان	همچنان	همچنان|هم + چنان	Ad|O+A0	قید|هم + صفت	
44	وجود	وجود|وجود	وجود	وجود|وجود	N1|N9	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی	
45	خواهد_داشت	_داشت	داشت	_داشت	O	_
46	.	.	.	.	Si	علامت	

0	یعقوبی	یعقوبی|یعقوب	یعقوب	یعقوبی|یعقوب + ی	N4|N3+O	اسم فامیل|اسم خاص اشخاص + ی	
1	می‌افزاید	افزا	افزود	می + افزا + ید	V+O	فعل حال اخباری+دوم شخص جمع	
2	:	:	:	:	Si	علامت	
3	تصور	تصور	تصور	تصور	N1	اسم	
4	می‌کنم	کن|کن	کرد	می + کن + م|می + کن + م	V+O|V+O	فعل حال اخباری+اول شخص مفرد|فعل حال اخباری+اول شخص مفرد	
5	اروپایی‌ها	اروپایی|اروپا	اروپایی	اروپایی + ها|اروپا + یی + ها	A0+Pl|N2+O+Pl	صفت + علامت جمع|اسم خاص مکان + یی + علامت جمع	
6	به	به|به	به	به|به	Pr|N1	حرف اضافه|اسم	
7	۲دلیل	۲دلیل	۲دلیل	۲دلیل	O	_
8	به‌زودی	به‌زودی|زودی|زود	به‌زودی	به‌زودی|به + زودی|به + زود + ی	Ad|O+N1|O+A0+O	قید|به + اسم|به + صفت + ی	
9	کنار	کنار|کنار	کنار	کنار|کنار	N1|N1	اسم|اسم	
10	نخواهند_رفت	نخواهند_رفت	رفت	نخواهند_رفت	O	_
11	؛	؛	؛	؛	Si	علامت	
12	نخست	نخست|خست|نخ	نخست	نخست|ن + خست|نخ + ست	A0|V+O|N1+O	صفت|فعل ماضی ساده منفی+سوم شخص مفرد|اسم + ضمیر ملکی سوم شخص مفرد	
13	به‌واسطه	به‌واسطه|واسطه|واسط	به‌واسطه	به‌واسطه|به + واسطه|به + واسط + ه	N1|O+N1|O+N1+O	اسم|به + اسم|به + اسم + ه	
14	جنگ	جنگ|جنگ|جنگ	جنگ	جنگ|جنگ|جنگ	V|N1|N1	فعل امر مثبت|اسم|اسم	
15	تجاری	تجاری|تجار	تجار	تجاری|تجار + ی	A0|N1+O	صفت|اسم + ی	
16	آنها	آن‌ها|آن‌ها|آنها|آنها	آن	آن‌ها|آن‌ها|آنها|آنها	N5|N6|N5|N6	ضمیر فاعلی|ضمیر اشاره|ضمیر فاعلی|ضمیر اشاره	
17	با	با	با	با	Pr	حرف اضافه	
18	آمریکا	امریکا	آمریکا	امریکا	N2	اسم خاص مکان	
19	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
20	دوم	دوم|دو|دو|دو	دوم	دوم|دو + م|دو + م|دو + م	A0|V+O|N1+O|N1+V	صفت|فعل مضارع ساده+اول شخص مفرد|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد	
21	اینکه	اینکه	اینکه	اینکه	Ad	قید	
